Week number,Care home,Elsewhere,Home,Hospice,Hospital,Other communal establishment,Total
1,2832,171,2588,615,5904,32,12142
2,3122,242,3014,601,6756,33,13768
3,3048,220,2892,606,6366,30,13162
4,2960,197,2849,615,6060,31,12712
5,2837,194,2746,589,5755,26,12147
6,2735,189,2720,605,5612,20,11881
7,2578,203,2655,577,5527,22,11562
8,2647,176,2596,566,5477,22,11484
9,2516,189,2539,584,5298,17,11143
10,2605,188,2639,592,5411,22,11457
11,2535,193,2576,567,5263,19,11153
12,2322,177,2418,540,5015,25,10497
13,2219,168,2346,551,4751,22,10057
14,2222,173,2367,547,4910,19,10238
15,2232,167,2410,551,5072,20,10452
16,2239,186,2430,559,5005,23,10442
17,2254,182,2446,567,4920,17,10386
18,2078,193,2309,557,4722,16,9875
19,2006,155,2247,555,4549,14,9526
20,2113,196,2431,565,4786,19,10110
21,2060,187,2415,581,4620,16,9879
22,1677,138,1910,522,3856,12,8115
23,2075,183,2425,565,4641,17,9906
24,1933,193,2284,560,4372,21,9363
25,1969,171,2244,566,4367,20,9337
26,1918,193,2291,580,4240,13,9235
27,1925,186,2268,568,4175,16,9138
28,1924,184,2261,562,4250,15,9196
29,1921,190,2221,559,4148,15,9054
30,1891,172,2241,551,4101,13,8969
31,1909,185,2237,538,4082,15,8966
32,1912,178,2252,548,4139,14,9043
33,1939,171,2192,546,4148,26,9022
34,1993,181,2221,554,4138,19,9106
35,1767,148,2023,527,3724,17,8206
36,2016,181,2174,547,4186,18,9122
37,1967,186,2271,573,4258,12,9267
38,1986,182,2246,541,4226,15,9196
39,1991,185,2250,559,4305,15,9305
40,2066,176,2308,558,4365,18,9491
41,2188,210,2357,544,4457,18,9774
42,2167,177,2382,554,4503,14,9797
43,2127,178,2338,559,4479,25,9706
44,2241,176,2348,567,4474,21,9827
45,2285,193,2462,577,4706,26,10249
46,2311,179,2469,573,4751,19,10302
47,2292,183,2521,581,4729,22,10328
48,2292,200,2501,569,4730,20,10312
49,2404,202,2552,567,4904,17,10646
50,2452,175,2585,556,4920,24,10712
51,2619,226,2751,598,5321,22,11537
52,1841,94,1782,482,3678,12,7889
